game_id,model,language,prompt_version,temperature,initial_resources,cost,wtp,seller_first_offer,buyer_countered_lower,buyer_same_price_proposal,deal,final_price,rounds,breach_A,breach_B,breach_C
en_baseline_test/1789549214131,gpt-4o-mini,en,v0,0.7,RED[X=1];BLUE[ZUP=1000],40,60,40,False,False,True,40,2,False,False,True
en_baseline_test/1789615340690,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=1000],40,60,40,False,False,True,40,2,False,False,True
en_baseline_test/1789616009664,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=1000],40,60,40,False,False,True,40,2,False,False,True
en_baseline_test/1789616019447,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=1000],40,60,40,False,False,True,40,2,False,False,True
en_baseline_test/1789616029082,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=1000],40,60,40,False,False,True,40,2,False,False,True
en_baseline_test/1789616037573,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=1000],40,60,40,False,False,True,40,2,False,False,True
en_baseline_test/1789616045397,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=1000],40,60,40,False,False,True,40,2,False,False,True
en_baseline_test/1789617667371,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=100],40,60,50,False,False,True,50,2,False,False,True
probe_seller50/en_narrow/1789617833876,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=100],40,45,50,False,False,True,45,4,False,False,False
probe_seller50/en_narrow/1789617840490,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=100],40,45,50,False,False,True,40,4,False,False,False
probe_seller50/en_narrow/1789617847619,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=100],40,45,50,False,False,True,45,4,False,False,False
probe_seller50/en_no_range/1789617855587,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=100],60,40,50,True,False,False,,10,False,False,False
probe_seller50/en_no_range/1789617872420,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=100],60,40,50,False,False,True,40,4,False,True,False
probe_seller50/en_no_range/1789617878612,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=100],60,40,50,False,False,True,40,4,False,True,False
probe_seller50/en_wide/1789617822408,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=100],40,60,50,False,False,True,50,2,False,False,True
probe_seller50/en_wide/1789617827063,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=100],40,60,50,False,False,True,50,2,False,False,True
probe_seller50/en_wide/1789617830374,gpt-4o-mini,en,v1,0.7,RED[X=1];BLUE[ZUP=100],40,60,50,False,False,True,50,2,False,False,True
probe_seller50/zh_narrow/1789617896877,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=100],40,45,50,False,False,True,45,4,False,False,False
probe_seller50/zh_narrow/1789617903182,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=100],40,45,50,False,False,True,45,4,False,False,False
probe_seller50/zh_narrow/1789617910140,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=100],40,45,50,False,False,True,45,4,False,False,False
probe_seller50/zh_no_range/1789617916756,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=100],60,40,50,False,False,True,40,6,False,True,False
probe_seller50/zh_no_range/1789617926633,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=100],60,40,50,True,True,True,50,7,True,True,False
probe_seller50/zh_no_range/1789617942707,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=100],60,40,50,False,False,False,,10,False,False,False
probe_seller50/zh_wide/1789617885144,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=100],40,60,50,False,False,True,50,2,False,False,True
probe_seller50/zh_wide/1789617888032,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=100],40,60,50,False,True,True,50,3,False,False,True
probe_seller50/zh_wide/1789617892359,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=100],40,60,50,False,True,True,50,3,False,False,True
zh_baseline_test/1789615357629,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=1000],40,60,50,False,False,True,50,2,False,False,True
zh_baseline_test/1789616057991,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=1000],40,60,50,False,True,True,50,3,False,False,True
zh_baseline_test/1789616068009,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=1000],40,60,50,False,False,True,50,2,False,False,True
zh_baseline_test/1789616076063,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=1000],40,60,50,False,True,True,50,3,False,False,True
zh_baseline_test/1789616085538,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=1000],40,60,50,False,True,True,50,3,False,False,True
zh_baseline_test/1789616095615,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=1000],40,60,50,False,True,False,,10,False,False,False
zh_baseline_test/1789617680193,gpt-4o-mini,zh,v1,0.7,RED[X=1];BLUE[ZUP=100],40,60,50,False,True,True,50,3,False,False,True
